maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.8_0.5,65.0,35.0,21.0,17.0,21.0,67.0,21.0,27.0,21.0,37.0,175.0,137.0,115.0,37.0,105.0
0.8_0.6,109.0,19.0,19.0,17.0,17.0,69.0,55.0,21.0,21.0,41.0,89.0,49.0,71.0,15.0,109.0
0.8_0.7,49.0,67.0,17.0,17.0,35.0,159.0,23.0,21.0,21.0,48841.0,109.0,137.0,50618.0,15.0,121.0
0.8_0.8,89.0,25.0,17.0,17.0,51747.0,29.0,23.0,21.0,21.0,21.0,121.0,135.0,35.0,52065.0,153.0
0.8_0.9,25.0,27.0,19.0,17.0,47323.0,31.0,51.0,21.0,21.0,52991.0,125.0,215.0,131.0,50133.0,219.0
0.9_0.1,59.0,23.0,17.0,17.0,19.0,49.0,25.0,27.0,21.0,21.0,87.0,89.0,55.0,15.0,101.0
0.9_0.2,55.0,29.0,17.0,17.0,35.0,43.0,23.0,31.0,21.0,27.0,99.0,91.0,39.0,17.0,85.0
0.9_0.3,19.0,23.0,29.0,17.0,47.0,21.0,21.0,21.0,21.0,23.0,59.0,39.0,79.0,19.0,65.0
0.9_0.4,41.0,55.0,17.0,17.0,35.0,39.0,67.0,27.0,21.0,25.0,113.0,71.0,39.0,23.0,145.0
0.9_0.5,23.0,23.0,17.0,17.0,19.0,53.0,25.0,29.0,21.0,21.0,213.0,91.0,35.0,21.0,155.0
0.9_0.6,51.0,17.0,31.0,17.0,25.0,23.0,21.0,52278.0,21.0,21.0,53.0,59.0,49020.0,15.0,177.0
0.9_0.7,43.0,21.0,52771.0,52707.0,51224.0,21.0,27.0,21.0,21.0,21.0,79.0,41.0,49119.0,51881.0,317.0
0.9_0.8,49.0,51067.0,52321.0,17.0,17.0,23.0,21.0,21.0,21.0,25.0,259.0,51213.0,52049.0,15.0,50375.0
0.9_0.9,55.0,17.0,27.0,17.0,17.0,123.0,51716.0,21.0,21.0,50832.0,77.0,171.0,29.0,15.0,205.0
