maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.7_0.2,23.0,29.0,45.0,43.0,23.0,35.0,31.0,43.0,109.0,25.0,15.0,21.0,29.0,29.0,15.0
0.7_0.3,43.0,27.0,39.0,75.0,23.0,25.0,31.0,43.0,75.0,25.0,15.0,17.0,21.0,45.0,15.0
0.7_0.4,23.0,27.0,43.0,79.0,23.0,25.0,33.0,43.0,137.0,25.0,15.0,21.0,21.0,31.0,15.0
0.7_0.5,23.0,27.0,41.0,63.0,23.0,25.0,29.0,45.0,65.0,25.0,15.0,15.0,25.0,43.0,15.0
0.7_0.6,23.0,27.0,45.0,75.0,25.0,25.0,35.0,39.0,99.0,25.0,15.0,17.0,25.0,31.0,15.0
0.7_0.7,23.0,29.0,37.0,59.0,23.0,25.0,35.0,57.0,107.0,25.0,15.0,21.0,29.0,29.0,15.0
0.7_0.8,23.0,27.0,51.0,81.0,23.0,25.0,33.0,41.0,51.0,25.0,15.0,19.0,21.0,47.0,15.0
0.7_0.9,23.0,25.0,41.0,73.0,23.0,29.0,31.0,35.0,97.0,25.0,15.0,19.0,21.0,35.0,15.0
0.8_0.1,23.0,29.0,43.0,71.0,37.0,41.0,31.0,63.0,89.0,33.0,21.0,17.0,35.0,43.0,15.0
0.8_0.2,25.0,27.0,35.0,81.0,23.0,25.0,31.0,39.0,77.0,25.0,15.0,19.0,23.0,41.0,15.0
0.8_0.3,23.0,27.0,41.0,69.0,23.0,25.0,35.0,49.0,87.0,25.0,15.0,17.0,29.0,65.0,15.0
0.8_0.4,23.0,31.0,33.0,61.0,23.0,25.0,35.0,47.0,37.0,25.0,15.0,19.0,29.0,27.0,15.0
0.8_0.5,23.0,29.0,37.0,81.0,23.0,25.0,31.0,45.0,93.0,25.0,15.0,21.0,33.0,37.0,15.0
0.8_0.6,23.0,29.0,35.0,69.0,23.0,25.0,29.0,49.0,111.0,25.0,15.0,19.0,29.0,57.0,15.0
0.8_0.7,23.0,27.0,37.0,61.0,23.0,25.0,31.0,41.0,71.0,25.0,15.0,21.0,31.0,33.0,15.0
0.8_0.8,23.0,27.0,45.0,39.0,23.0,25.0,31.0,43.0,55.0,25.0,15.0,21.0,21.0,57.0,15.0
0.8_0.9,43.0,27.0,41.0,103.0,23.0,25.0,29.0,39.0,75.0,25.0,17.0,19.0,21.0,63.0,15.0
0.9_0.1,25.0,35.0,55.0,99.0,37.0,35.0,37.0,77.0,93.0,29.0,15.0,29.0,23.0,53.0,15.0
0.9_0.2,23.0,35.0,37.0,61.0,23.0,25.0,29.0,47.0,131.0,25.0,15.0,17.0,49.0,43.0,15.0
0.9_0.3,23.0,27.0,51.0,53.0,23.0,25.0,35.0,51.0,55.0,25.0,15.0,17.0,23.0,55.0,15.0
0.9_0.4,23.0,31.0,39.0,43.0,23.0,25.0,31.0,39.0,79.0,25.0,15.0,15.0,27.0,53.0,15.0
0.9_0.5,23.0,27.0,35.0,55.0,23.0,25.0,37.0,43.0,85.0,25.0,15.0,17.0,21.0,79.0,15.0
0.9_0.6,23.0,29.0,55.0,43.0,23.0,27.0,33.0,43.0,75.0,25.0,15.0,19.0,25.0,45.0,15.0
0.9_0.7,23.0,27.0,47.0,45.0,23.0,25.0,27.0,35.0,63.0,25.0,15.0,21.0,33.0,51.0,15.0
0.9_0.8,25.0,27.0,31.0,67.0,23.0,25.0,31.0,43.0,67.0,25.0,15.0,19.0,29.0,43.0,15.0
0.9_0.9,23.0,33.0,41.0,63.0,23.0,25.0,31.0,59.0,49.0,25.0,15.0,21.0,27.0,33.0,15.0
